Channel,Spend,Month,Visitors,Last Click Add To Cart,Last Click Orders,Last Click Revenue,Last Click Email Captures,Email capture conversions 30 day window,Email capture conversions 60 day window
YouTube Ads,"$811,498 ",5/1/2025 0:00,1275720,2336,313,1738865,37665,247,370
YouTube Ads,"$271,208 ",4/1/2025 0:00,648585,3333,125,555981,15171,88,123
FB Ads,"$246,595 ",6/1/2025 0:00,633724,44,143,697405,12090,34,52
YouTube Ads,"$93,077 ",11/1/2024 0:00,604237,321,34,147885,3587,27,37
YouTube Ads,"$316,468 ",6/1/2025 0:00,532080,82,127,667467,20986,132,212
FB Ads,"$287,076 ",5/1/2025 0:00,475075,602,180,901498,11925,28,47
Organic + Direct,,5/1/2025 0:00,459605,1786,547,2947592,22495,,
Organic + Direct,,6/1/2025 0:00,441226,378,572,2907438,22152,,
FB Ads,"$160,659 ",3/1/2025 0:00,433625,1420,114,447771,17027,55,71
YouTube Ads,"$70,552 ",12/1/2024 0:00,421570,216,28,111462,2218,14,21
Organic + Direct,,2/1/2025 0:00,414396,2681,454,2024003,17129,,
YouTube Ads,"$181,725 ",8/1/2024 0:00,403922,1147,84,377705,12356,106,134
Organic + Direct,,8/1/2024 0:00,381259,2923,496,2197622,18120,,
Organic + Direct,,5/1/2024 0:00,377762,6637,661,2656118,23565,,
Organic + Direct,,7/1/2024 0:00,370538,3644,450,1846211,18227,,
Organic + Direct,,9/1/2024 0:00,357040,5012,428,1990583,23400,,
YouTube Ads,"$152,542 ",3/1/2025 0:00,320602,1221,61,242381,8746,68,83
Organic + Direct,,10/1/2024 0:00,309926,2700,422,1873609,15119,,
YouTube Ads,"$48,525 ",1/1/2025 0:00,307814,198,18,78859,2425,15,20
Organic + Direct,,1/1/2025 0:00,299601,2725,386,2004820,13695,,
Organic + Direct,,12/1/2024 0:00,284764,3355,741,3362860,15646,,
Organic + Direct,,3/1/2025 0:00,281486,2904,451,1959318,18612,,
Organic + Direct,,4/1/2025 0:00,280242,3328,431,1829638,18262,,
Organic + Direct,,6/1/2024 0:00,277516,4539,476,1815135,17023,,
FB Ads,"$102,638 ",4/1/2025 0:00,269187,894,81,310507,5395,15,20
Organic + Direct,,11/1/2024 0:00,268250,4152,747,3320591,18453,,
Organic + Direct,,4/1/2024 0:00,239159,2972,416,1257467,10681,,
Organic + Direct,,1/1/2024 0:00,234285,4099,360,1037281,7092,,
FB Ads,"$77,624 ",8/1/2024 0:00,225755,471,57,225121,6340,17,25
YouTube Ads,"$46,854 ",2/1/2025 0:00,221575,284,15,74661,4074,24,37
YouTube Ads,"$42,496 ",7/1/2024 0:00,216974,1181,25,93358,10592,74,107
Google Ads,"$860,104 ",5/1/2025 0:00,216354,1409,860,3930222,14434,602,941
FB Ads,"$182,076 ",5/1/2024 0:00,207991,1308,132,570084,8313,27,33
FB Ads,"$103,444 ",2/1/2025 0:00,204203,472,68,263021,7909,29,35
YouTube Ads,"$62,955 ",9/1/2024 0:00,189124,243,26,110277,3533,23,32
YouTube Ads,"$56,326 ",5/1/2024 0:00,170774,1045,17,87322,8974,80,95
Organic + Direct,,3/1/2024 0:00,170232,2947,343,1007545,6432,,
Google Ads,"$659,431 ",6/1/2025 0:00,165080,235,689,3095706,12141,535,701
FB Ads,"$94,199 ",3/1/2024 0:00,164084,1221,85,250846,4578,15,21
FB Ads,"$78,374 ",4/1/2024 0:00,162542,1132,77,245805,6596,23,31
Organic + Direct,,2/1/2024 0:00,156936,3140,338,991581,5288,,
FB Ads,"$78,859 ",1/1/2025 0:00,140492,579,69,271505,6859,20,31
Google Ads,"$973,699 ",5/1/2024 0:00,140258,3333,1125,4421151,12642,728,1073
YouTube Ads,"$37,275 ",10/1/2024 0:00,138568,304,18,65452,3514,26,32
Google Ads,"$664,583 ",7/1/2024 0:00,138217,2248,888,3162090,9885,434,695
FB Ads,"$39,846 ",2/1/2024 0:00,129579,886,51,135766,2596,5,9
FB Ads,"$217,517 ",11/1/2024 0:00,119996,810,148,638630,6974,22,32
Google Ads,"$714,419 ",6/1/2024 0:00,118913,2749,927,3367327,10363,567,756
Google Ads,"$524,884 ",1/1/2025 0:00,114430,1496,602,2254399,7226,435,611
Google Ads,"$510,478 ",4/1/2025 0:00,110195,2219,620,2230313,9305,422,584
YouTube Ads,"$29,621 ",6/1/2024 0:00,106146,570,16,64079,4911,36,45
Google Ads,"$689,208 ",11/1/2024 0:00,103576,2262,865,3299077,9202,559,716
Google Ads,"$279,224 ",1/1/2024 0:00,102007,2681,467,1282303,3789,200,304
Google Ads,"$486,660 ",2/1/2025 0:00,101193,1643,665,2381611,7742,326,492
Google Ads,"$570,363 ",8/1/2024 0:00,98979,1501,668,2534017,8092,401,642
FB Ads,"$84,217 ",9/1/2024 0:00,98122,384,72,273306,5332,16,22
FB Ads,"$157,972 ",12/1/2024 0:00,95702,483,123,473661,5259,18,23
Google Ads,"$444,136 ",3/1/2025 0:00,95560,1670,501,1872928,8272,334,525
Google Ads,"$759,007 ",12/1/2024 0:00,84958,1710,892,3405033,6739,657,846
FB Ads,"$27,890 ",1/1/2024 0:00,82858,711,27,77699,1990,5,7
Google Ads,"$477,058 ",3/1/2024 0:00,81257,1943,676,1969466,5481,480,575
FB Ads,"$73,911 ",7/1/2024 0:00,78119,332,56,197945,3054,9,13
Google Ads,"$480,082 ",9/1/2024 0:00,77280,1506,606,2347544,7155,356,486
FB Ads,"$61,639 ",10/1/2024 0:00,77183,351,49,185663,3791,10,14
FB Ads,"$93,313 ",6/1/2024 0:00,77175,573,78,297865,3749,11,17
YouTube Ads,"$24,451 ",4/1/2024 0:00,70674,448,12,41207,4834,40,49
Google Ads,"$464,066 ",4/1/2024 0:00,67847,1946,719,2169737,6531,315,495
Google Ads,"$264,887 ",2/1/2024 0:00,66980,1975,475,1313599,3324,215,263
Google Ads,"$434,172 ",10/1/2024 0:00,54917,1047,472,1827996,4846,330,514
YouTube Ads,"$7,518 ",3/1/2024 0:00,46718,277,4,14526,1884,10,15
YouTube Ads,"$15,361 ",2/1/2024 0:00,35156,339,10,29354,1688,13,18
YouTube Ads,"$1,290 ",1/1/2024 0:00,30771,186,1,2783,1020,6,9
